id,species,forme,type1,type2,hp,attack,defense,spattack,spdefense,speed,dex1,dex2,pre-evolution
666,Vivillon,Vivillon (Icy Snow Pattern),Bug,Flying,80,52,50,90,50,89,,,Spewpa
667,Litleo,Litleo,Fire,Normal,62,50,58,73,54,72,,,
668,Pyroar,Pyroar,Fire,Normal,86,68,72,109,66,106,,,Litleo
669,Flabébé,Flabébé (Red Flower),Fairy,,44,38,39,61,79,42,,,
670,Floette,Floette (Red Flower),Fairy,,54,45,47,75,98,52,,,Flabébé
671,Florges,Florges (Red Flower),Fairy,,78,65,68,112,154,75,,,Floette
672,Skiddo,Skiddo,Grass,,66,65,48,62,57,52,,,
673,Gogoat,Gogoat,Grass,,123,100,62,97,81,68,,,Skiddo
674,Pancham,Pancham,Dark,,67,82,62,46,48,43,"It grows up imitating the behavior of Pangoro, which it looks up to as a leader.","There’s no point to the leaf in its mouth, aside from an effort to look cool. It’s mischievous, so it’s not well suited to inexperienced Trainers.",
675,Pangoro,Pangoro,Dark,Fighting,95,124,78,69,71,58,It boasts superb physical strength. Those who wish to become Pangoro’s Trainer have no choice but to converse with their fists.,"From the slight twitches of its bamboo leaf, it deduces its opponent’s movements. It’s eager to tussle but kindhearted toward its companions.",Pancham
676,Furfrou,Furfrou (Natural Form),Normal,,75,80,60,65,90,102,,,
677,Espurr,Espurr,Psychic,,62,48,54,63,60,68,,,
678,Meowstic,Meowstic (Male),Psychic,,74,48,76,83,81,104,,,Espurr
679,Honedge,Honedge,Steel,Ghost,45,80,100,35,37,28,,,
680,Doublade,Doublade,Steel,Ghost,59,110,150,45,49,35,,,Honedge
681,Aegislash,Aegislash (Shield Forme),Steel,Ghost,60,50,150,50,150,60,,,Doublade
682,Spritzee,Spritzee,Fairy,,78,52,60,63,65,23,,,
683,Aromatisse,Aromatisse,Fairy,,101,72,72,99,89,29,,,Spritzee
684,Swirlix,Swirlix,Fairy,,62,48,66,59,57,49,,,
685,Slurpuff,Slurpuff,Fairy,,82,80,86,85,75,72,,,Swirlix
686,Inkay,Inkay,Dark,Psychic,53,54,53,37,46,45,,,
687,Malamar,Malamar,Dark,Psychic,86,92,88,68,75,73,,,Inkay
688,Binacle,Binacle,Rock,Water,42,52,67,39,56,50,,,
689,Barbaracle,Barbaracle,Rock,Water,72,105,115,54,86,68,,,Binacle
690,Skrelp,Skrelp,Poison,Water,50,60,60,60,60,30,,,
691,Dragalge,Dragalge,Poison,Dragon,65,75,90,97,123,44,,,Skrelp
692,Clauncher,Clauncher,Water,,50,53,62,58,63,44,,,
693,Clawitzer,Clawitzer,Water,,71,73,88,120,89,59,,,Clauncher
694,Helioptile,Helioptile,Electric,Normal,44,38,33,61,43,70,,,
695,Heliolisk,Heliolisk,Electric,Normal,62,55,52,109,94,109,,,Helioptile
696,Tyrunt,Tyrunt,Rock,Dragon,58,89,77,45,45,48,,,
697,Tyrantrum,Tyrantrum,Rock,Dragon,82,121,119,69,59,71,,,Tyrunt
698,Amaura,Amaura,Rock,Ice,77,59,50,67,63,46,,,
699,Aurorus,Aurorus,Rock,Ice,123,77,72,99,92,58,,,Amaura
700,Sylveon,Sylveon,Fairy,,95,65,65,110,130,60,"Its ribbonlike feelers give off an aura that weakens hostility in its prey, causing them to let down their guard. Then it attacks.","When this Pokémon sights its prey, it swirls its ribbonlike feelers as a distraction. A moment later, it pounces.",Eevee
701,Hawlucha,Hawlucha,Fighting,Flying,78,92,75,74,63,118,,,
702,Dedenne,Dedenne,Electric,Fairy,67,58,57,81,67,101,,,
703,Carbink,Carbink,Rock,Fairy,50,50,150,50,150,50,"Born from the high temperatures and pressures deep underground, it defends itself by firing beams from the jewel part of its body.","Although this Pokémon is not especially rare, its glittering, jewel-draped body draws attention from people.",
704,Goomy,Goomy,Dragon,,45,50,35,55,75,40,"The weakest of all Dragon-type Pokémon, it’s unable to breathe if its skin dries out, so it sticks to shady places.","Its source of protection is its slimy, germ-laden mucous membrane. Anyone who touches it needs some thorough hand-washing.",
705,Sliggoo,Sliggoo,Dragon,,68,75,53,83,113,60,It has trouble drawing a line between friends and food. It will calmly try to melt and eat even those it gets along well with.,"This Pokémon’s mucous can dissolve anything. Toothless, it sprays mucous on its prey. Once they’re nicely dissolved, it slurps them up.",Goomy
706,Goodra,Goodra,Dragon,,90,100,70,110,150,80,"An amazingly friendly Pokémon, but if left to itself, loneliness overcomes it, and it oozes gooey tears.","It gets picked on because it’s meek. But then, whoever teased it gets to feel the full force of its horns and a good swatting from its thick tail.",Sliggoo
707,Klefki,Klefki,Steel,Fairy,57,80,91,80,87,75,This even-tempered Pokémon has a habit of collecting keys. It will sneak into people’s homes to steal their keys.,"It inserts its horn into chinks in metal, absorbing metal ions. For some reason, it collects keys.",
708,Phantump,Phantump,Ghost,Grass,43,70,48,50,60,38,These Pokémon are stumps possessed by the spirits of children who died in the forest. Their cries sound like eerie screams.,"According to legend, medicine to cure any illness can be made by plucking the green leaves on its head, brewing them, and boiling down the liquid.",
709,Trevenant,Trevenant,Ghost,Grass,85,110,76,65,82,56,"This Pokémon is said to devour anyone daring to ravage the forest. To the creatures dwelling in the forest, it offers great kindness.","Through its roots, it exerts control over other trees. A deadly curse falls upon anyone cutting down trees in forests where Trevenant dwell.",Phantump
710,Pumpkaboo,Pumpkaboo (Average Size),Ghost,Grass,49,66,70,44,55,51,,,
711,Gourgeist,Gourgeist (Average Size),Ghost,Grass,65,90,122,58,75,84,,,Pumpkaboo (Average Size)
712,Bergmite,Bergmite,Ice,,55,69,85,32,35,28,,,
713,Avalugg,Avalugg,Ice,,95,117,184,44,46,28,,,Bergmite
714,Noibat,Noibat,Flying,Dragon,40,30,35,45,40,55,,,
715,Noivern,Noivern,Flying,Dragon,85,70,80,97,80,123,,,Noibat
716,Xerneas,Xerneas (Neutral Mode),Fairy,,126,131,95,131,98,99,,,
717,Yveltal,Yveltal,Dark,Flying,126,131,95,131,98,99,,,
718,Zygarde,Zygarde (50% Forme),Dragon,Ground,108,100,121,81,95,95,"This is Zygarde’s form when it has gathered 50% of its cells. It wipes out all those who oppose it, showing not a shred of mercy.",It’s thought to be monitoring the ecosystem. There are rumors that even greater power lies hidden within it.,
719,Diancie,Diancie,Rock,Fairy,50,100,150,100,150,50,,,
720,Hoopa,Hoopa (Hoopa Confined),Psychic,Ghost,80,110,60,150,130,70,,,
721,Volcanion,Volcanion,Fire,Water,80,110,120,130,90,70,,,
722,Rowlet,Rowlet,Grass,Flying,68,55,55,50,50,42,"This wary Pokémon uses photosynthesis to store up energy during the day, while becoming active at night.","Silently it glides, drawing near its targets. Before they even notice it, it begins to pelt them with vicious kicks.",
723,Dartrix,Dartrix,Grass,Flying,78,75,75,70,70,52,"A bit of a dandy, it spends its free time preening its wings. Its preoccupation with any dirt on its plumage can leave it unable to battle.",It throws sharp feathers called blade quills at enemies or prey. It seldom misses.,Rowlet
724,Decidueye,Decidueye,Grass,Ghost,78,107,75,100,100,70,"It fires arrow quills from its wings with such precision, they can pierce a pebble at distances over a hundred yards.","Although basically cool and cautious, when it’s caught by surprise, it’s seized by panic.",Dartrix
725,Litten,Litten,Fire,,45,65,40,60,40,70,"While grooming itself, it builds up fur inside its stomach. It sets the fur alight and spews fiery attacks, which change based on how it coughs.",It doesn’t allow its emotions to be easily seen. Earning its trust takes time. It prefers solitude.,
726,Torracat,Torracat,Fire,,65,85,50,80,50,90,"At its throat, it bears a bell of fire. The bell rings brightly whenever this Pokémon spits fire.","It boasts powerful front legs. With a single punch, it can bend an iron bar right over.",Litten
727,Incineroar,Incineroar,Fire,Dark,95,115,90,80,90,60,"This Pokémon has a violent, selfish disposition. If it’s not in the mood to listen, it will ignore its Trainer’s orders with complete nonchalance.","After hurling ferocious punches and flinging furious kicks, it finishes opponents off by spewing fire from around its navel.",Torracat
728,Popplio,Popplio,Water,,50,54,54,66,56,40,"This Pokémon snorts body fluids from its nose, blowing balloons to smash into its foes. It’s famous for being a hard worker.",This Pokémon can control water bubbles. It practices diligently so it can learn to make big bubbles.,
729,Brionne,Brionne,Water,,60,69,69,91,81,50,"A skillful dancer, it creates a sequence of water balloons as it dances, and briskly bombards its enemies.","It cares deeply for its companions. When its Trainer is feeling down, it performs a cheery dance to try and help.",Popplio
730,Primarina,Primarina,Water,Fairy,80,74,74,126,116,60,It controls its water balloons with song. The melody is learned from others of its kind and is passed down from one generation to the next.,Its singing voice is its chief weapon in battle. This Pokémon’s Trainer must prioritize the daily maintenance of its throat at all costs.,Brionne
731,Pikipek,Pikipek,Normal,Flying,35,75,30,30,30,65,It can peck at a rate of 16 times a second to drill holes in trees. It uses the holes for food storage and for nesting.,"This Pokémon feeds on berries, whose leftover seeds become the ammunition for the attacks it fires off from its mouth.",
732,Trumbeak,Trumbeak,Normal,Flying,55,85,50,40,50,75,"It eats berries and stores their seeds in its beak. When it encounters enemies or prey, it fires off all the seeds in a burst.","By bending its beak, it can produce a variety of calls and brand itself a noisy nuisance for its neighbors.",Pipipek
733,Toucannon,Toucannon,Normal,Flying,80,120,75,75,75,60,"When it battles, its beak heats up. The temperature can easily exceed 212 degrees Fahrenheit, causing severe burns when it hits.","Within its beak, its internal gas ignites, explosively launching seeds with enough power to pulverize boulders.",Trumbeak
734,Yungoos,Yungoos,Normal,,48,70,30,30,30,45,"With its sharp fangs, it will bite anything. It did not originally live in Alola but was imported from another region.","It wanders around in a never-ending search for food. At dusk, it collapses from exhaustion and falls asleep on the spot.",
735,Gumshoos,Gumshoos,Normal,,88,110,60,55,60,45,"When it finds a trace of its prey, it patiently stakes out the location...but it’s always snoozing by nightfall.","It adores having Rattata and Raticate for dinner, but as it’s diurnal, it never encounters them. This Pokémon boasts incredible patience.",Yungoos
736,Grubbin,Grubbin,Bug,,47,62,45,55,45,46,Its strong jaw enables it to scrape trees and slurp out the sap. It normally lives underground.,They often gather near places frequented by electric Pokémon in order to avoid being attacked by bird Pokémon.,
737,Charjabug,Charjabug,Bug,Electric,57,82,95,55,75,36,"Its body is capable of storing electricity. On camping trips, people are grateful to have one around.","From the food it digests, it generates electricity, and it stores this energy in its electric sac.",Grubbin
738,Vikavolt,Vikavolt,Bug,Electric,77,70,90,145,75,43,"It zips around, on sharp lookout for an opening. It concentrates electrical energy within its large jaws and uses it to zap its enemies.",It produces electricity via an electrical organ in its abdomen. It overwhelms bird Pokémon with shocking beams of electrical energy.,Charjabug
739,Crabrawler,Crabrawler,Fighting,,47,82,57,42,47,63,"While guarding its weak points with its pincers, it looks for an opening and unleashes punches. When it loses, it foams at the mouth and faints.","It punches so much, its pincers often come off from overuse, but they grow back quickly. What little meat they contain is rich and delicious.",
740,Crabominable,Crabominable,Fighting,Ice,97,132,77,62,67,43,"It aimed for the top but got lost and ended up on a snowy mountain. Being forced to endure the cold, this Pokémon evolved and grew fur.","It just throws punches indiscriminately. In times of desperation, it can lop off its own pincers and fire them like rockets.",Crabrawler
741,Oricorio,Oricorio (Baile Style),Fire,Flying,75,70,70,98,70,93,"It beats its wings together to create fire. As it moves in the steps of its beautiful dance, it bathes opponents in intense flames.",This Oricorio has sipped red nectar. Its passionate dance moves cause its enemies to combust in both body and mind.,
742,Cutiefly,Cutiefly,Bug,Fairy,40,45,40,55,40,84,"It feeds on the nectar and pollen of flowers. Because it’s able to sense auras, it can identify which flowers are about to bloom.",Myriads of Cutiefly flutter above the heads of people who have auras resembling those of flowers.,
743,Ribombee,Ribombee,Bug,Fairy,60,55,60,95,70,124,"It rolls up pollen into puffs. It makes many different varieties, some used as food and others used in battle.",Some of Ribombee’s pollen puffs are highly nutritious. They are sometimes sold as supplements.,Cutiefly
744,Rockruff,Rockruff,Rock,,45,65,40,30,40,60,"It’s considered to be a good Pokémon for beginners because of its friendliness, but its disposition grows rougher as it grows up.",This Pokémon has lived with people since times long ago. It can sense when its Trainer is in the dumps and will stick close by its Trainer’s side.,
745,Lycanroc,Lycanroc (Midday Form),Rock,,75,115,65,55,65,112,"Its quick movements confuse its enemies. Well equipped with claws and fangs, it also uses the sharp rocks in its mane as weapons.","When properly raised from a young age, it will become a trustworthy partner that will absolutely never betray its Trainer.",Rockruff
746,Wishiwashi,Wishiwashi (Solo Form),Water,,45,20,20,25,25,40,"When it’s in trouble, its eyes moisten and begin to shine. The shining light attracts its comrades, and they stand together against their enemies.","It’s awfully weak and notably tasty, so everyone is always out to get it. As it happens, anyone trying to bully it receives a painful lesson.",
747,Mareanie,Mareanie,Poison,Water,50,53,62,43,52,45,"It plunges the poison spike on its head into its prey. When the prey has weakened, Mareanie deals the finishing blow with its 10 tentacles.",It’s found crawling on beaches and seafloors. The coral that grows on Corsola’s head is as good as a five-star banquet to this Pokémon.,
748,Toxapex,Toxapex,Poison,Water,50,63,152,53,142,35,Toxapex crawls along the ocean floor on its 12 legs. It leaves a trail of Corsola bits scattered in its wake.,"Those attacked by Toxapex’s poison will suffer intense pain for three days and three nights. Post-recovery, there will be some aftereffects.",Mareanie
749,Mudbray,Mudbray,Ground,,70,100,70,45,55,45,The mud stuck to Mudbray’s hooves enhances its grip and its powerful running gait.,"It has a stubborn, individualistic disposition. Eating dirt, making mud, and playing in the mire all form part of its daily routine.",
750,Mudsdale,Mudsdale,Ground,,100,125,100,55,85,35,"It spits a mud that provides resistance to both wind and rain, so the walls of old houses were often coated with it.","Its heavy, mud-covered kicks are its best means of attack, and it can reduce large trucks to scrap without breaking a sweat.",Mudbray
751,Dewpider,Dewpider,Water,Bug,38,40,52,40,72,27,It crawls onto the land in search of food. Its water bubble allows it to breathe and protects its soft head.,"When it comes across enemies or potential prey, this Pokémon smashes its water-bubble-covered head into them.",
752,Araquanid,Araquanid,Water,Bug,68,70,92,50,132,42,"It delivers headbutts with the water bubble on its head. Small Pokémon get sucked into the bubble, where they drown.","Despite what its appearance suggests, it cares for others. If it finds vulnerable, weak Pokémon, it protectively brings them into its water bubble.",Dewpider
753,Fomantis,Fomantis,Grass,,40,55,35,50,35,35,"During the day, it sleeps and soaks up light. When night falls, it walks around looking for a safer place to sleep.",They give off a sweet and refreshing scent. Cutiefly often gather near the tall grass where Fomantis are hiding.,
754,Lurantis,Lurantis,Grass,,70,105,90,80,90,45,"It requires a lot of effort to maintain Lurantis’s vivid coloring, but some collectors enjoy this work and treat it as their hobby.",It fires beams from its sickle-shaped petals. These beams are powerful enough to cleave through thick metal plates.,Fomantis
755,Morelull,Morelull,Grass,Fairy,40,35,55,65,75,15,It scatters spores that flicker and glow. Anyone seeing these lights falls into a deep slumber.,"As it drowses the day away, it nourishes itself by sucking from tree roots. It wakens at the fall of night, wandering off in search of a new tree.",
756,Shiinotic,Shiinotic,Grass,Fairy,60,45,80,90,100,30,Forests where Shiinotic live are treacherous to enter at night. People confused by its strange lights can never find their way home again.,"It emits flickering spores that cause drowsiness. When its prey succumb to sleep, this Pokémon feeds on them by sucking in their energy.",Morelull
757,Salandit,Salandit,Poison,Fire,48,44,40,71,40,77,"It burns its bodily fluids to create a poisonous gas. When its enemies become disoriented from inhaling the gas, it attacks them.","Volcanoes or dry, craggy places are its home. It emanates a sweet-smelling poisonous gas that attracts bug Pokémon, then attacks them.",
758,Salazzle,Salazzle,Poison,Fire,68,64,60,111,60,117,"For some reason, only females have been found. It creates a reverse harem of male Salandit that it lives with.","Filled with pheromones, its poisonous gas can be diluted to use in the production of luscious perfumes.",Sandalit
759,Stufful,Stufful,Normal,Fighting,70,75,50,45,50,50,"Despite its adorable appearance, when it gets angry and flails about, its arms and legs could knock a pro wrestler sprawling.",A touch from anyone except a known friend sends it into a surging frenzy. It’s an incredibly dangerous Pokémon.,
760,Bewear,Bewear,Normal,Fighting,120,125,80,55,60,60,This immensely dangerous Pokémon possesses overwhelming physical strength. Its habitat is generally off-limits.,This Pokémon has the habit of hugging its companions. Many Trainers have left this world after their spines were squashed by its hug.,Stufful
761,Bounsweet,Bounsweet,Grass,,42,30,38,30,38,32,A delectable aroma pours from its body. They are often swallowed whole by Toucannon lured by that wafting deliciousness.,"Although it’s too sugary for human consumption, Bounsweet’s sweat can be watered down into a juice with just the right amount of sweetness.",
762,Steenee,Steenee,Grass,,52,40,48,40,48,62,"The sepals on its head developed to protect its body. These are quite hard, so even if pecked by bird Pokémon, this Pokémon is totally fine.",This Pokémon is always bouncing around energetically. Other Pokémon are attracted by its lively appearance and pleasant aroma.,Bounsweet
763,Tsareena,Tsareena,Grass,,72,120,98,50,98,72,"Its long, striking legs aren’t just for show but to be used to kick with skill. In victory, it shows off by kicking the defeated, laughing boisterously.","A Pokémon known for the beauty of its well-shaped legs, it sometimes appears as a mascot in advertisements for beauty salons.",Steenee
764,Comfey,Comfey,Fairy,,51,52,90,82,110,100,"It attaches flowers to its highly nutritious vine. This revitalizes the flowers, and they give off an aromatic scent.","Baths prepared with the flowers from its vine have a relaxing effect, so this Pokémon is a hit with many people.",
765,Oranguru,Oranguru,Normal,Psychic,90,60,80,90,110,60,"Known for its extreme intelligence, this Pokémon will look down on inexperienced Trainers, so it’s best suited to veteran Trainers.","Deep in the jungle, high in the lofty canopy, this Pokémon abides. On rare occasions, it shows up at the beach to match wits with Slowking.",
766,Passimian,Passimian,Fighting,,100,120,90,40,60,80,They form groups of roughly 20 individuals. Their mutual bond is remarkable—they will never let down a comrade.,"They battle with hard berries for weapons. Their techniques are passed from the boss to the group, generation upon generation.",
767,Wimpod,Wimpod,Bug,Water,25,35,40,20,30,80,"This Pokémon is a coward. As it desperately dashes off, the flailing of its many legs leaves a sparkling clean path in its wake.","Its habitat varies from beaches to seabeds. A natural scavenger, it will gleefully chow down on anything edible, no matter how rotten.",
768,Golisopod,Golisopod,Bug,Water,75,125,140,60,90,40,"With a flashing slash of its giant sharp claws, it cleaves seawater—or even air—right in two.","It battles skillfully with its six arms, but spends most of its time peacefully meditating in caves deep beneath the sea.",Wimpod
769,Sandygast,Sandygast,Ghost,Ground,55,55,80,70,45,15,"Born from a sand mound playfully built by a child, this Pokémon embodies the grudges of the departed.",It takes control of anyone who puts a hand in its mouth. And so it adds to the accumulation of its sand-mound body.,
770,Palossand,Palossand,Ghost,Ground,85,75,110,100,75,35,"Possessed people controlled by this Pokémon transformed its sand mound into a castle. As it evolved, its power to curse grew ever stronger.",Buried beneath the castle are masses of dried-up bones from those whose vitality it has drained.,Sandygast
771,Pyukumuku,Pyukumuku,Water,,55,60,130,30,130,5,"It lives in shallow seas, such as areas near a beach. It can eject its internal organs, which it uses to engulf its prey or battle enemies.",These Pokémon line the beaches. The sticky mucous that covers their bodies can be used to soothe sunburned skin. How convenient!,
772,Type: Null,Type: Null,Normal,,95,95,95,95,95,59,The heavy control mask it wears suppresses its intrinsic capabilities. This Pokémon has some hidden special power.,"Due to the danger that this synthetic Pokémon may go on a rampage, it wears a control mask to restrain its power.",
773,Silvally,Silvally (Type: Normal),Normal,,95,95,95,95,95,95,"Its trust in its partner is what awakens it. This Pokémon is capable of changing its type, a flexibility that is well displayed in battle.","Although its name was Type: Null at first, the boy who evolved it into this form gave it the name by which it is now known.",Type: Null
774,Minior,Minior (Meteor Form),Rock,Flying,60,60,100,60,100,60,"Originally making its home in the ozone layer, it hurtles to the ground when the shell enclosing its body grows too heavy.",Strong impacts can knock it out of its shell. This Pokémon was born from mutated nanoparticles.,
775,Komala,Komala,Normal,,65,115,65,75,95,65,"It is born asleep, and it dies asleep. All its movements are apparently no more than the results of it tossing and turning in its dreams.",The log it holds was given to it by its parents at birth. It has also been known to cling to the arm of a friendly Trainer.,
776,Turtonator,Turtonator,Fire,Dragon,60,78,135,91,85,36,The shell on its back is chemically unstable and explodes violently if struck. The hole in its stomach is its weak point.,It gushes fire and poisonous gases from its nostrils. Its dung is an explosive substance and can be put to various uses.,
777,Togedemaru,Togedemaru,Electric,Steel,65,98,63,40,73,96,"The spiny fur on its back is normally at rest. When this Pokémon becomes agitated, its fur stands on end and stabs into its attackers.",The long hairs on its back act as lightning rods. The bolts of lightning it attracts are stored as energy in its electric sac.,
778,Mimikyu,Mimikyu (Disguised Form),Ghost,Fairy,55,90,80,50,105,96,Its actual appearance is unknown. A scholar who saw what was under its rag was overwhelmed by terror and died from the shock.,"A lonely Pokémon, it conceals its terrifying appearance beneath an old rag so it can get closer to people and other Pokémon.",
779,Bruxish,Bruxish,Water,Psychic,68,105,70,70,70,92,"When it unleashes its psychic power from the protuberance on its head, the grating sound of grinding teeth echoes through the area.",It stuns its prey with psychokinesis and then grinds them to mush with its strong teeth. Even Shellder’s shell is no match for it.,
780,Drampa,Drampa,Normal,Dragon,78,60,85,135,91,36,"It has a compassionate personality, but if it is angered, it completely destroys its surroundings with its intense breath.",This Pokémon is friendly to people and loves children most of all. It comes from deep in the mountains to play with children it likes in town.,
781,Dhelmise,Dhelmise,Ghost,Grass,70,131,100,86,90,40,"Swinging its massive anchor, it can KO Wailord in a single blow. What appears to be green seaweed is actually its body.",The soul of seaweed adrift in the waves became reborn as this Pokémon. It maintains itself with new infusions of seabed detritus and seaweed.,
782,Jangmo-o,Jangmo-o,Dragon,,45,55,65,45,45,45,It expresses its feelings by smacking its scales. Metallic sounds echo through the tall mountains where Jangmo-o lives.,They live in mountains where no trace of humans can be detected. Jangmo-o grow little by little as they battle one another.,
783,Hakamo-o,Hakamo-o,Dragon,Fighting,55,75,90,65,70,65,It leaps at its prey with a courageous shout. Its scaly punches tear its opponents to shreds.,It sheds and regrows its scales on a continuous basis. The scales become harder and sharper each time they’re regrown.,Jangmo-o
784,Kommo-o,Kommo-o,Dragon,Fighting,75,110,125,100,105,85,"When it spots enemies, it threatens them by jingling the scales on its tail. Weak opponents will crack and flee in panic.","Its rigid scales function as offense and defense. In the past, its scales were processed and used to make weapons and other commodities.",Hakamo-o
785,Tapu Koko,Tapu Koko,Electric,Fairy,70,115,85,95,75,130,This guardian deity of Melemele is brimming with curiosity. It summons thunderclouds and stores their lightning inside its body.,It confuses its enemies by flying too quickly for the eye to follow. It has a hair-trigger temper but forgets what made it angry an instant later.,
786,Tapu Lele,Tapu Lele,Psychic,Fairy,70,85,75,130,115,95,This guardian deity of Akala is guilelessly cruel. The fragrant aroma of flowers is the source of its energy.,"As it flutters about, it scatters its strangely glowing scales. Touching them is said to restore good health on the spot.",
787,Tapu Bulu,Tapu Bulu,Grass,Fairy,70,130,115,85,95,75,"It pulls large trees up by the roots and swings them around. It causes vegetation to grow, and then it absorbs energy from the growth.",The guardian deity of Ula’ula is a lazy Pokémon. It commands plants to immobilize its foes and then deals them a savage blow with its horns.,
788,Tapu Fini,Tapu Fini,Water,Fairy,70,75,115,95,130,85,The dense fog it creates brings the downfall and destruction of its confused enemies. Ocean currents are the source of its energy.,"The guardian deity of Poni, it can control water. People say it can create pure water that will wash away any uncleanness.",
789,Cosmog,Cosmog,Psychic,,43,29,31,29,31,37,Its body is gaseous and frail. It slowly grows as it collects dust from the atmosphere.,"In ages past, it was called the child of the stars. It’s said to be a Pokémon from another world, but no specific details are known.",
790,Cosmoem,Cosmoem,Psychic,,43,29,131,29,131,37,"Motionless as if dead, its body is faintly warm to the touch. In the distant past, it was called the cocoon of the stars.",There’s something accumulating around the black core within its hard shell. People think this Pokémon may come from another world.,Cosmog
791,Solgaleo,Solgaleo,Psychic,Steel,137,137,107,113,89,97,It is said to live in another world. The intense light it radiates from the surface of its body can make the darkest of nights light up like midday.,"This Pokémon is said to be a male evolution of Cosmog. At the activation of its third eye, it departs for another world.",Cosmoem
792,Lunala,Lunala,Psychic,Ghost,137,113,89,137,107,97,"It is said to be a female evolution of Cosmog. When its third eye activates, away it flies to another world.","Said to live in another world, this Pokémon devours light, drawing the moonless dark veil of night over the brightness of day.",Cosmoem
793,Nihilego,Nihilego,Rock,Poison,109,53,47,127,131,103,One of several mysterious Ultra Beasts. People on the street report observing those infested by it suddenly becoming violent.,"One of the Ultra Beasts. It’s unclear whether or not this Pokémon is sentient, but sometimes it can be observed behaving like a young girl.",
794,Buzzwole,Buzzwole,Bug,Fighting,107,139,139,53,53,79,"This Ultra Beast appeared from another world. It shows off its body, but whether that display is a boast or a threat remains unclear.",A mysterious life-form called an Ultra Beast. Witnesses saw it pulverize a dump truck with a single punch.,
795,Pheromosa,Pheromosa,Bug,Fighting,71,137,37,137,37,151,"One of the dangerous Ultra Beasts, it has been spotted running across the land at terrific speeds.","One of the Ultra Beasts. It refuses to touch anything, perhaps because it senses some uncleanness in this world.",
796,Xurkitree,Xurkitree,Electric,,83,89,71,173,71,83,"One of the mysterious life-forms known as Ultra Beasts. Astonishing electric shocks emanate from its entire body, according to witnesses.","It appeared from the Ultra Wormhole. It raided a power plant, so people think it energizes itself with electricity.",
797,Celesteela,Celesteela,Steel,Flying,97,101,103,107,101,61,It appeared from the Ultra Wormhole. Witnesses observed it flying across the sky at high speed.,One kind of Ultra Beast. Witnesses have seen it burn down a forest by expelling gas from its two arms.,
798,Kartana,Kartana,Grass,Steel,59,181,131,59,31,109,"This Ultra Beast came from the Ultra Wormhole. It seems not to attack enemies on its own, but its sharp body is a dangerous weapon in itself.","One of the Ultra Beast life-forms, it was observed cutting down a gigantic steel tower with one stroke of its blade.",
799,Guzzlord,Guzzlord,Dark,Dragon,223,101,53,97,53,43,"It has gobbled mountains and swallowed whole buildings, according to reports. It’s one of the Ultra Beasts.","A dangerous Ultra Beast, it appears to be eating constantly, but for some reason its droppings have never been found.",
800,Necrozma,Necrozma,Psychic,,97,107,101,127,89,79,"Reminiscent of the Ultra Beasts, this life-form, apparently asleep underground, is thought to have come from another world in ancient times.",Light is apparently the source of its energy. It has an extraordinarily vicious disposition and is constantly firing off laser beams.,
801,Magearna,Magearna,Steel,Fairy,80,95,115,130,115,65,"This artificial Pokémon, constructed more than 500 years ago, can understand human speech but cannot itself speak.","Its mechanized body is merely a vessel. Its true self is its Soul-Heart, an artificial soul.",
802,Marshadow,Marshadow,Fighting,Ghost,90,125,80,90,90,125,"Able to conceal itself in shadows, it never appears before humans, so its very existence was the stuff of myth.","It lurks in the shadows of others, copying their movements and powers. This Pokémon is craven and cowering.",
804,Venusaur,Venusaur (Mega Venusaur),Grass,Poison,80,100,123,122,120,80,,,Ivysaur
805,Charizard,Charizard (Mega Charizard X),Fire,Dragon,78,130,111,130,85,100,,,Charmeleon
806,Charizard,Charizard (Mega Charizard Y),Fire,Flying,78,104,78,159,115,100,,,Charmeleon
807,Blastoise,Blastoise (Mega Blastoise),Water,,79,103,120,135,115,78,,,Wartortle
808,Beedrill,Beedrill (Mega Beedrill),Bug,Poison,65,150,40,15,80,145,,,Kakuna
809,Pidgeot,Pidgeot (Mega Pidgeot),Normal,Flying,83,80,80,135,80,121,,,Pidgeotto
810,Rattata,Rattata (Alola Form),Dark,Normal,30,56,35,25,35,72,"With its incisors, it gnaws through doors and infiltrates people’s homes. Then, with a twitch of its whiskers, it steals whatever food it finds.","When the sun goes down, it becomes active. It runs around town on a chase for good food for the boss of its nest—Raticate.",
811,Raticate,Raticate (Alola Form),Dark,Normal,75,71,70,40,80,77,"It forms a group of Rattata, which it assumes command of. Each group has its own territory, and disputes over food happen often.",This gourmet Pokémon is particular about the taste and freshness of its food. Restaurants where Raticate live have a good reputation.,Rattata
812,Raticate,Raticate (1),Dark,Normal,75,71,70,40,80,77,,,
813,Pikachu,Pikachu (Original Cap),Electric,,35,55,40,50,50,90,"This form of Pikachu is somewhat rare. It wears the hat of its Trainer, who is also its partner.","This Pikachu is wearing its Trainer’s cap. Since the cap’s not the right size, the fit is a bit loose.",
814,Pikachu,Pikachu (Hoenn Cap),Electric,,35,55,40,50,50,90,"This form of Pikachu is somewhat rare. It wears the hat of its Trainer, who is also its partner.","This Pikachu is wearing its Trainer’s cap. Since the cap’s not the right size, the fit is a bit loose.",
